,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
gl-02-02-05,0.6,0.41379310344827586,48.32962138084632,13.839285714285715,17.59465478841871,47.21603563474387,80.0
gl-03-01-06,0.41025641025641024,0.4,45.776566757493185,8.767123287671232,22.3433242506812,44.141689373297,39.0
oltl-07-20-11,0.40625,0.3333333333333333,36.88212927756654,10.68702290076336,19.01140684410646,36.121673003802286,64.0
oltl-08-26-09,0.2982456140350877,0.43137254901960786,52.519083969465655,16.232771822358348,19.541984732824428,50.38167938931297,57.0
oltl-02-03-10,0.5294117647058824,0.30303030303030304,51.69147496617049,14.382632293080052,21.10960757780785,49.25575101488497,68.0
pc-03-04-03,0.18518518518518517,0.3611111111111111,42.99065420560748,10.881801125703564,18.317757009345794,41.12149532710281,27.0
gl-07-19-06,0.36507936507936506,0.28205128205128205,43.29159212880143,9.335727109515261,20.03577817531306,41.14490161001789,63.0
bb-05-30-06,0.48148148148148145,0.546875,55.33834586466166,16.89291101055807,23.157894736842103,54.13533834586467,81.0
bb-01-17-07,0.509090909090909,0.6458333333333334,42.352941176470594,11.811023622047244,19.607843137254903,39.6078431372549,55.0
pc-05-01-03,0.2857142857142857,0.32142857142857145,47.16692189892802,12.903225806451612,20.21439509954058,45.3292496171516,63.0
gl-01-26-05,0.4936708860759494,0.6842105263157895,56.7816091954023,17.28110599078341,21.609195402298848,54.482758620689665,79.0
bb-01-05-16,0.6666666666666666,0.5,44.57478005865102,8.259587020648967,20.527859237536656,42.22873900293255,33.0
bb-06-13-06,0.42857142857142855,0.43333333333333335,49.358974358974365,15.755627009646304,24.03846153846154,48.39743589743589,63.0
atwt-01-19-09,0.45,0.5970149253731343,55.39661898569571,15.90612777053455,22.886866059817944,53.836150845253584,60.0
pc-05-21-03,0.3275862068965517,0.25757575757575757,45.30551415797318,8.66965620328849,17.88375558867362,42.62295081967213,58.0
oltl-01-23-09,0.45161290322580644,0.3181818181818182,38.877755511022045,9.255533199195172,19.238476953907817,36.07214428857716,62.0
bb-06-21-06,0.4444444444444444,0.4805194805194805,56.042496679946886,22.10386151797603,25.232403718459494,55.77689243027888,72.0
oltl-08-14-09,0.3230769230769231,0.4782608695652174,36.58051689860835,7.584830339321356,17.097415506958253,34.990059642147116,65.0
oltl-02-22-10,0.3333333333333333,0.5416666666666666,33.33333333333333,7.392996108949417,18.217054263565892,31.782945736434108,69.0
bb-01-06-15,0.569620253164557,0.5925925925925926,43.005181347150256,15.051903114186851,17.098445595854926,42.31433506044905,79.0
gl-01-25-05,0.4714285714285714,0.7391304347826086,35.897435897435905,12.875536480686694,18.37606837606838,33.76068376068376,70.0
gl-09-13-06,0.35714285714285715,0.3829787234042553,45.33898305084745,12.76595744680851,18.220338983050848,43.22033898305085,28.0
bb-05-23-06,0.4864864864864865,0.3194444444444444,41.56862745098039,12.648221343873518,24.313725490196074,40.0,37.0
oltl-04-07-09,0.421875,0.4782608695652174,42.73204903677759,7.029876977152901,19.614711033274954,40.98073555166375,64.0
bb-05-18-06,0.5072463768115942,0.7543859649122807,58.04511278195489,17.79788838612368,24.06015037593985,55.93984962406016,69.0
atwt-01-17-05,0.3442622950819672,0.375,53.65853658536586,18.160651920838184,17.421602787456443,51.33565621370499,61.0
oltl-05-29-09,0.2898550724637681,0.5,33.46153846153846,8.108108108108107,16.153846153846153,29.230769230769234,69.0
atwt-11-11-05,0.39473684210526316,0.5555555555555556,44.53998280309544,13.608957795004306,18.400687876182285,42.64832330180568,76.0
gl-02-21-05,0.5256410256410257,0.4375,36.05313092979128,5.333333333333333,18.9753320683112,33.396584440227706,78.0
atwt-02-21-06,0.4864864864864865,0.575,43.72623574144487,10.687022900763358,20.53231939163498,40.3041825095057,74.0
pc-05-30-03,0.3333333333333333,0.5769230769230769,51.657458563535904,14.681440443213296,21.54696132596685,50.276243093922645,66.0
